Mã hồ sơ,Nhóm lĩnh vực,Kênh nộp hồ sơ,Tháng phát sinh,Số ngày giải quyết,Kết quả đánh giá
DVC-2026-005227,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 12,5,Đúng hạn
DVC-2026-000987,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 10,2,Đúng hạn
DVC-2026-000010,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 8,37,Trễ hẹn
DVC-2026-004523,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 10,8,Đúng hạn
DVC-2026-001757,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,9,Đúng hạn
DVC-2026-002345,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 4,5,Đúng hạn
DVC-2026-000294,Xây dựng,Trực tuyến (DVC),Tháng 9,1,Đúng hạn
DVC-2026-004903,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 5,1,Đúng hạn
DVC-2026-002297,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 9,10,Đúng hạn
DVC-2026-008593,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 2,13,Đúng hạn
DVC-2026-009710,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 5,6,Đúng hạn
DVC-2026-009547,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,29,Trễ hẹn
DVC-2026-008213,Xây dựng,Trực tuyến (DVC),Tháng 9,1,Đúng hạn
DVC-2026-008937,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 7,2,Đúng hạn
DVC-2026-001322,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 9,10,Đúng hạn
DVC-2026-009633,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,15,Trễ hẹn
DVC-2026-001919,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,6,Đúng hạn
DVC-2026-004106,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 4,11,Đúng hạn
DVC-2026-001354,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 4,7,Đúng hạn
DVC-2026-008168,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 2,11,Đúng hạn
DVC-2026-007477,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 3,7,Đúng hạn
DVC-2026-002848,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 10,18,Trễ hẹn
DVC-2026-000524,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 8,10,Đúng hạn
DVC-2026-006561,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 11,13,Đúng hạn
DVC-2026-006525,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 7,4,Đúng hạn
DVC-2026-003169,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,7,Đúng hạn
DVC-2026-000202,Xây dựng,Trực tuyến (DVC),Tháng 10,8,Đúng hạn
DVC-2026-004495,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 4,4,Đúng hạn
DVC-2026-006901,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 9,2,Đúng hạn
DVC-2026-003829,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 8,25,Trễ hẹn
DVC-2026-000790,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 8,8,Đúng hạn
DVC-2026-008529,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 2,30,Trễ hẹn
DVC-2026-002206,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 8,6,Đúng hạn
DVC-2026-003672,Xây dựng,Trực tuyến (DVC),Tháng 3,43,Trễ hẹn
DVC-2026-006658,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 4,8,Đúng hạn
DVC-2026-004950,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 11,2,Đúng hạn
DVC-2026-006806,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,8,Đúng hạn
DVC-2026-001553,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,10,Đúng hạn
DVC-2026-006568,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,9,Đúng hạn
DVC-2026-002579,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,9,Đúng hạn
DVC-2026-009531,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 10,30,Trễ hẹn
DVC-2026-008527,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 1,37,Trễ hẹn
DVC-2026-002042,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 1,3,Đúng hạn
DVC-2026-005815,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,5,Đúng hạn
DVC-2026-007011,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,13,Đúng hạn
DVC-2026-003520,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 12,8,Đúng hạn
DVC-2026-001449,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 11,22,Trễ hẹn
DVC-2026-006016,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 5,11,Đúng hạn
DVC-2026-004411,Xây dựng,Trực tiếp tại quầy,Tháng 9,9,Đúng hạn
DVC-2026-000939,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,12,Đúng hạn
DVC-2026-002749,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 7,2,Đúng hạn
DVC-2026-003101,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 4,25,Trễ hẹn
DVC-2026-003082,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,6,Đúng hạn
DVC-2026-006703,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 12,43,Trễ hẹn
DVC-2026-002383,Xây dựng,Trực tuyến (DVC),Tháng 7,5,Đúng hạn
DVC-2026-001069,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 3,13,Đúng hạn
DVC-2026-007677,Xây dựng,Trực tiếp tại quầy,Tháng 5,30,Trễ hẹn
DVC-2026-001964,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 6,1,Đúng hạn
DVC-2026-000278,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 3,43,Trễ hẹn
DVC-2026-003731,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 8,26,Trễ hẹn
DVC-2026-005821,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,6,Đúng hạn
DVC-2026-000060,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 5,9,Đúng hạn
DVC-2026-006584,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 7,1,Đúng hạn
DVC-2026-002763,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 9,18,Trễ hẹn
DVC-2026-006146,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 2,11,Đúng hạn
DVC-2026-004387,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 1,10,Đúng hạn
DVC-2026-009223,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 9,10,Đúng hạn
DVC-2026-002696,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 7,6,Đúng hạn
DVC-2026-006544,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 8,11,Đúng hạn
DVC-2026-001151,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 6,8,Đúng hạn
DVC-2026-004360,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 1,7,Đúng hạn
DVC-2026-005404,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 8,5,Đúng hạn
DVC-2026-003519,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 7,3,Đúng hạn
DVC-2026-000450,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 11,25,Trễ hẹn
DVC-2026-005839,Xây dựng,Trực tuyến (DVC),Tháng 7,7,Đúng hạn
DVC-2026-002196,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,11,Đúng hạn
DVC-2026-003427,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 4,11,Đúng hạn
DVC-2026-004764,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 8,11,Đúng hạn
DVC-2026-002991,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 12,10,Đúng hạn
DVC-2026-006357,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 5,16,Trễ hẹn
DVC-2026-006803,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 10,37,Trễ hẹn
DVC-2026-009456,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 5,4,Đúng hạn
DVC-2026-000882,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 12,13,Đúng hạn
DVC-2026-007019,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 2,15,Trễ hẹn
DVC-2026-003504,Xây dựng,Trực tiếp tại quầy,Tháng 12,8,Đúng hạn
DVC-2026-009724,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 2,9,Đúng hạn
DVC-2026-009098,Xây dựng,Trực tiếp tại quầy,Tháng 7,8,Đúng hạn
DVC-2026-009185,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 5,24,Trễ hẹn
DVC-2026-009139,Xây dựng,Trực tuyến (DVC),Tháng 7,6,Đúng hạn
DVC-2026-003599,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,2,Đúng hạn
DVC-2026-002005,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 3,6,Đúng hạn
DVC-2026-001486,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 3,2,Đúng hạn
DVC-2026-007353,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 10,13,Đúng hạn
DVC-2026-006709,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 11,3,Đúng hạn
DVC-2026-002540,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 3,10,Đúng hạn
DVC-2026-002889,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,12,Đúng hạn
DVC-2026-007448,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 5,12,Đúng hạn
DVC-2026-005779,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 5,9,Đúng hạn
DVC-2026-003111,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 5,5,Đúng hạn
DVC-2026-009353,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,2,Đúng hạn
DVC-2026-002253,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 6,11,Đúng hạn
DVC-2026-003713,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,7,Đúng hạn
DVC-2026-002982,Xây dựng,Trực tiếp tại quầy,Tháng 11,26,Trễ hẹn
DVC-2026-003875,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 9,11,Đúng hạn
DVC-2026-004182,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 11,16,Trễ hẹn
DVC-2026-009275,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 10,16,Trễ hẹn
DVC-2026-003447,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 3,15,Trễ hẹn
DVC-2026-003241,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 7,10,Đúng hạn
DVC-2026-003125,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 1,22,Trễ hẹn
DVC-2026-009532,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 3,6,Đúng hạn
DVC-2026-003303,Xây dựng,Trực tiếp tại quầy,Tháng 8,16,Trễ hẹn
DVC-2026-009471,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,9,Đúng hạn
DVC-2026-002054,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,2,Đúng hạn
DVC-2026-008171,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 3,3,Đúng hạn
DVC-2026-006370,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 3,3,Đúng hạn
DVC-2026-005960,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 9,7,Đúng hạn
DVC-2026-006890,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 11,9,Đúng hạn
DVC-2026-009249,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 9,6,Đúng hạn
DVC-2026-002403,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,9,Đúng hạn
DVC-2026-006853,Xây dựng,Trực tiếp tại quầy,Tháng 9,19,Trễ hẹn
DVC-2026-009824,Xây dựng,Trực tiếp tại quầy,Tháng 9,4,Đúng hạn
DVC-2026-000143,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 11,42,Trễ hẹn
DVC-2026-005578,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 6,6,Đúng hạn
DVC-2026-000164,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 10,10,Đúng hạn
DVC-2026-006536,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 2,7,Đúng hạn
DVC-2026-004068,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 4,6,Đúng hạn
DVC-2026-008276,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 9,1,Đúng hạn
DVC-2026-006347,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 6,43,Trễ hẹn
DVC-2026-002938,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 2,8,Đúng hạn
DVC-2026-007908,Xây dựng,Trực tuyến (DVC),Tháng 10,37,Trễ hẹn
DVC-2026-008982,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 12,9,Đúng hạn
DVC-2026-007283,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 8,3,Đúng hạn
DVC-2026-004386,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 3,29,Trễ hẹn
DVC-2026-003345,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 2,4,Đúng hạn
DVC-2026-003273,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 5,4,Đúng hạn
DVC-2026-002565,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 9,13,Đúng hạn
DVC-2026-002951,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 3,2,Đúng hạn
DVC-2026-000835,Xây dựng,Trực tuyến (DVC),Tháng 5,11,Đúng hạn
DVC-2026-009130,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 7,13,Đúng hạn
DVC-2026-005398,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 5,25,Trễ hẹn
DVC-2026-001332,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 12,3,Đúng hạn
DVC-2026-007970,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 12,29,Trễ hẹn
DVC-2026-002780,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 1,10,Đúng hạn
DVC-2026-001861,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 1,9,Đúng hạn
DVC-2026-007091,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 3,25,Trễ hẹn
DVC-2026-008046,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 2,34,Trễ hẹn
DVC-2026-002422,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 12,2,Đúng hạn
DVC-2026-000301,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 8,5,Đúng hạn
DVC-2026-008917,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 5,35,Trễ hẹn
DVC-2026-004431,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 7,3,Đúng hạn
DVC-2026-004515,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 12,39,Trễ hẹn
DVC-2026-001211,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 3,29,Trễ hẹn
DVC-2026-003347,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 12,22,Trễ hẹn
DVC-2026-009742,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 5,12,Đúng hạn
DVC-2026-001009,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 2,6,Đúng hạn
DVC-2026-005826,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 1,1,Đúng hạn
DVC-2026-004192,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 5,36,Trễ hẹn
DVC-2026-007923,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 6,11,Đúng hạn
DVC-2026-007303,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 11,39,Trễ hẹn
DVC-2026-008947,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 4,9,Đúng hạn
DVC-2026-003593,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,9,Đúng hạn
DVC-2026-004641,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,11,Đúng hạn
DVC-2026-009138,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 7,4,Đúng hạn
DVC-2026-008281,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 1,31,Trễ hẹn
DVC-2026-007736,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 5,8,Đúng hạn
DVC-2026-005550,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 1,7,Đúng hạn
DVC-2026-005840,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 1,41,Trễ hẹn
DVC-2026-004795,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 6,20,Trễ hẹn
DVC-2026-008675,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 8,4,Đúng hạn
DVC-2026-006692,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 6,13,Đúng hạn
DVC-2026-005011,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 6,13,Đúng hạn
DVC-2026-001326,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 1,5,Đúng hạn
DVC-2026-002785,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 12,10,Đúng hạn
DVC-2026-001619,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 11,23,Trễ hẹn
DVC-2026-005627,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 8,5,Đúng hạn
DVC-2026-005436,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 3,29,Trễ hẹn
DVC-2026-008088,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 4,43,Trễ hẹn
DVC-2026-008973,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,8,Đúng hạn
DVC-2026-004616,Xây dựng,Trực tuyến (DVC),Tháng 9,9,Đúng hạn
DVC-2026-008530,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 10,15,Trễ hẹn
DVC-2026-003797,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 3,11,Đúng hạn
DVC-2026-007531,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 11,24,Trễ hẹn
DVC-2026-006396,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 3,13,Đúng hạn
DVC-2026-002669,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 10,6,Đúng hạn
DVC-2026-001232,Xây dựng,Trực tiếp tại quầy,Tháng 11,23,Trễ hẹn
DVC-2026-009757,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 4,10,Đúng hạn
DVC-2026-002733,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 11,8,Đúng hạn
DVC-2026-005146,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,12,Đúng hạn
DVC-2026-009204,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 5,12,Đúng hạn
DVC-2026-006715,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 1,25,Trễ hẹn
DVC-2026-009518,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 11,11,Đúng hạn
DVC-2026-004432,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,2,Đúng hạn
DVC-2026-005752,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 10,28,Trễ hẹn
DVC-2026-001765,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 10,2,Đúng hạn
DVC-2026-008017,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 3,9,Đúng hạn
DVC-2026-000516,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 9,2,Đúng hạn
DVC-2026-007016,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 1,11,Đúng hạn
DVC-2026-008900,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 9,2,Đúng hạn
DVC-2026-009480,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 5,1,Đúng hạn
DVC-2026-000991,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 8,7,Đúng hạn
DVC-2026-006554,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 11,8,Đúng hạn
DVC-2026-002371,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 8,20,Trễ hẹn
DVC-2026-002828,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 2,9,Đúng hạn
DVC-2026-003644,Lao động - Thương binh & Xã hội,Trực tuyến (DVC),Tháng 10,12,Đúng hạn
DVC-2026-009063,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 12,4,Đúng hạn
DVC-2026-004110,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 5,15,Trễ hẹn
DVC-2026-009246,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,4,Đúng hạn
DVC-2026-001441,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 11,1,Đúng hạn
DVC-2026-007664,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 7,13,Đúng hạn
DVC-2026-002475,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,5,Đúng hạn
DVC-2026-005751,Kế hoạch - Đầu tư,Trực tiếp tại quầy,Tháng 2,34,Trễ hẹn
DVC-2026-003816,Tài nguyên - Môi trường,Trực tiếp tại quầy,Tháng 8,13,Đúng hạn
DVC-2026-000508,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,2,Đúng hạn
DVC-2026-004627,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 1,7,Đúng hạn
DVC-2026-001614,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 4,3,Đúng hạn
DVC-2026-001464,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,8,Đúng hạn
DVC-2026-000733,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 8,7,Đúng hạn
DVC-2026-008514,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 7,10,Đúng hạn
DVC-2026-005947,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 1,7,Đúng hạn
DVC-2026-005992,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 3,10,Đúng hạn
DVC-2026-007899,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 11,22,Trễ hẹn
DVC-2026-002849,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 6,5,Đúng hạn
DVC-2026-001922,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 7,5,Đúng hạn
DVC-2026-009060,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 10,2,Đúng hạn
DVC-2026-000077,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 12,4,Đúng hạn
DVC-2026-002989,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 5,10,Đúng hạn
DVC-2026-007523,Kế hoạch - Đầu tư,Trực tuyến (DVC),Tháng 7,4,Đúng hạn
DVC-2026-006372,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 3,2,Đúng hạn
DVC-2026-001682,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 3,40,Trễ hẹn
DVC-2026-009914,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 5,28,Trễ hẹn
DVC-2026-005271,Lao động - Thương binh & Xã hội,Trực tiếp tại quầy,Tháng 2,22,Trễ hẹn
DVC-2026-000928,Xây dựng,Trực tuyến (DVC),Tháng 1,32,Trễ hẹn
DVC-2026-001955,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 4,13,Đúng hạn
DVC-2026-007824,Tư pháp - Hộ tịch,Trực tuyến (DVC),Tháng 8,7,Đúng hạn
DVC-2026-006724,Xây dựng,Trực tiếp tại quầy,Tháng 11,22,Trễ hẹn
DVC-2026-001673,Tư pháp - Hộ tịch,Trực tiếp tại quầy,Tháng 3,13,Đúng hạn
DVC-2026-004187,Tài nguyên - Môi trường,Trực tuyến (DVC),Tháng 8,26,Trễ hẹn
